# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10282
#@/user_id	713eb3a7-a407-4821-ba6a-356b9c53ef46
a 	啊	c=44 d=2.14059 t=10094
a a a 	啊啊啊	c=1 d=1 t=1674
a a a a 	啊啊啊啊	c=0 d=0.1 t=288
a a a a a 	啊啊啊啊啊	c=1 d=1 t=289
a li 	阿里	c=1 d=1 t=3224
ai 	唉	c=1 d=1 t=10173
ai 	愛	c=0 d=0.1 t=8377
an 	按	c=4 d=1.00001 t=8082
an bu liao 	按不了	c=1 d=1 t=586
an dao 	按到	c=1 d=1 t=1125
an jian 	按鍵	c=4 d=1.78663 t=8106
an li 	安利	c=5 d=3.05967 t=9071
an niu 	按鈕	c=1 d=1 t=3661
an pai 	安排	c=1 d=1 t=1846
an quan 	安全	c=3 d=1.23474 t=7676
an shi 	暗示	c=2 d=1.05642 t=8842
an zhao 	按照	c=3 d=1 t=9189
an zhuang 	安裝	c=22 d=2.03632 t=8595
an zhuo 	安卓	c=11 d=1.99501 t=7383
ao li gei 	奧力給	c=2 d=1.43823 t=7173
ao men 	澳門	c=9 d=1.00001 t=8737
ao shu 	奧術	c=1 d=1 t=8282
ao ye 	熬夜	c=1 d=1 t=5155
ba 	八	c=2 d=1.00075 t=4458
ba 	吧	c=42 d=1.68488 t=10089
ba 	把	c=8 d=0.100001 t=7078
ba 	拔	c=1 d=1 t=1797
ba cao 	拔草	c=1 d=1 t=5765
ba wo 	把握	c=1 d=1 t=10058
ba yue 	八月	c=4 d=1.85947 t=7422
bai 	白	c=1 d=1 t=5990
bai du 	百度	c=3 d=1.83527 t=8698
bai kuang 	白框	c=1 d=1 t=1397
bai piao 	白漂	c=1 d=1 t=5872
bai xiang 	白箱	c=1 d=1 t=8341
ban 	半	c=4 d=1 t=8119
ban 	搬	c=1 d=1 t=4780
ban 	板	c=4 d=1.99005 t=6360
ban 	版	c=14 d=1.00282 t=9364
ban ben 	版本	c=8 d=1.09932 t=9322
ban fa 	辦法	c=1 d=1 t=5891
ban jia 	半加	c=2 d=1.70469 t=8191
bang 	棒	c=6 d=1.00084 t=9044
bang 	綁	c=4 d=1.04807 t=5752
bang ni 	幫你	c=1 d=1 t=10234
bang wo 	幫我	c=6 d=1.0476 t=5750
bao 	保	c=1 d=1 t=9981
bao 	包	c=6 d=1 t=9056
bao 	報	c=2 d=1.99005 t=6221
bao 	寶	c=0 d=0.1 t=5979
bao 	爆	c=1 d=1 t=8779
bao an 	保安	c=1 d=1 t=1367
bao cun 	保存	c=16 d=1.92849 t=9942
bao cuo 	報錯	c=11 d=1.85214 t=8612
bao da 	暴打	c=1 d=1 t=7052
bao dao 	寶島	c=0 d=0.1 t=8154
bao han 	包含	c=1 d=1 t=4959
bao hu 	保護	c=1 d=1 t=6034
bao kuo 	包括	c=2 d=1.00027 t=8540
bao liu 	保留	c=7 d=1.00001 t=9583
bao shang 	抱上	c=1 d=1 t=8361
bao shi 	寶石	c=1 d=1 t=2907
bao xian 	保險	c=2 d=1.98511 t=8742
bao xian 	保鮮	c=1 d=1 t=7427
bao zha 	爆炸	c=2 d=1.41066 t=2734
bao zheng 	保證	c=1 d=1 t=9159
bao zhi qi 	保質期	c=2 d=1.84789 t=7796
bao zhuang 	包裝	c=2 d=1.66365 t=7722
bei 	唄	c=3 d=1.05292 t=1580
bei 	背	c=1 d=1 t=6920
bei 	被	c=3 d=1 t=7576
bei fen 	備份	c=6 d=2.79976 t=9769
bei ji 	北極	c=1 d=1 t=7972
bei jing 	北京	c=1 d=1 t=2313
bei jing 	背景	c=2 d=1.00004 t=3549
bei mian 	背面	c=3 d=1 t=5969
bei song 	背誦	c=1 d=1 t=7317
bei su 	倍速	c=1 d=1 t=5913
bei yong 	備用	c=1 d=1 t=8054
ben 	本	c=2 d=1.42316 t=8297
ben ci 	本次	c=1 d=1 t=5816
ben di 	本地	c=1 d=1 t=1582
ben lai 	本來	c=1 d=1 t=8702
ben shen 	本身	c=4 d=1.06258 t=8452
ben wei 	本位	c=2 d=1.66365 t=8117
beng kui 	崩潰	c=2 d=1.26714 t=1395
bi 	幣	c=1 d=1 t=9214
bi 	比	c=6 d=1.22764 t=9541
bi 	碧	c=2 d=1.03206 t=6778
bi 	筆	c=5 d=3.90189 t=6284
bi 	逼	c=2 d=1.36604 t=318
bi 	閉	c=1 d=1 t=1592
bi feng 	筆風	c=1 d=1 t=298
bi ge 	筆格	c=1 d=1 t=317
bi ji 	筆記	c=2 d=1.89583 t=3104
bi ji ben 	筆記本	c=2 d=1.00004 t=8012
bi jiao 	比較	c=5 d=1.01916 t=9943
bi jing 	畢竟	c=3 d=1.01363 t=1692
bi li 	比例	c=4 d=1.00101 t=7380
bi mian 	避免	c=2 d=1 t=9436
bi sai 	比賽	c=3 d=1 t=8367
bi xu 	必須	c=2 d=1.19989 t=5407
bian 	變	c=4 d=1.67761 t=6608
bian 	遍	c=1 d=1 t=3569
bian 	邊	c=4 d=1.00185 t=6529
bian bie 	辨別	c=1 d=1 t=7406
bian cheng 	編程	c=4 d=1.00031 t=9860
bian cheng 	變成	c=1 d=1 t=3115
bian dong 	變動	c=1 d=1 t=9496
bian geng 	變更	c=5 d=1.02573 t=8605
bian hua 	變化	c=2 d=1 t=10063
bian ji 	編輯	c=3 d=2.41977 t=5704
bian ji qi 	編輯器	c=5 d=1.99005 t=9822
bian li 	遍歷	c=10 d=2.13434 t=9964
bian liang 	變量	c=10 d=1 t=9858
bian ma 	編碼	c=1 d=1 t=1742
bian wei 	變味	c=1 d=1 t=7592
bian xie 	便攜	c=1 d=1 t=3363
bian xie 	編寫	c=2 d=1 t=5101
bian yi 	編譯	c=17 d=3.42236 t=8714
bian yi qi 	編譯器	c=2 d=1.00122 t=4936
bian yi shi 	編譯時	c=1 d=1 t=5442
bian zhi 	變質	c=4 d=3.26769 t=7594
biao 	表	c=1 d=1 t=9469
biao da 	表達	c=1 d=1 t=5052
biao da shi 	表達式	c=1 d=0.1 t=5052
biao dian 	標點	c=1 d=1 t=5
biao ge 	表格	c=1 d=1 t=5015
biao ke 	鏢客	c=0 d=0.1 t=936
biao mian 	表面	c=1 d=1 t=7793
biao qian 	標籤	c=1 d=0.100134 t=3791
biao qian ye 	標籤頁	c=1 d=1 t=3792
biao qing 	表情	c=1 d=1 t=681
biao shi 	標識	c=1 d=1 t=7250
biao shi 	表示	c=2 d=1.10383 t=9331
biao ti 	標題	c=2 d=1.2265 t=4262
biao xian 	表現	c=2 d=1.00454 t=6666
biao yang 	表揚	c=1 d=1 t=2768
biao zhun 	標準	c=2 d=1 t=5785
bie 	別	c=7 d=1.99053 t=9891
bie niu 	彆扭	c=1 d=1 t=370
bin 	斌	c=1 d=1 t=6081
bing 	並	c=15 d=1.00381 t=9741
bing 	炳	c=3 d=2.95556 t=6088
bing bu 	並不	c=2 d=1.00001 t=8275
bing bu hui 	並不會	c=1 d=1 t=1087
bing bu shi 	並不是	c=1 d=1 t=7485
bing liang 	冰涼	c=1 d=1 t=5002
bing qie 	並且	c=3 d=1.90484 t=9835
bo cai 	博彩	c=1 d=1 t=6092
bo fang 	播放	c=1 d=1 t=823
bo fang qi 	播放器	c=1 d=1 t=1066
bo hao 	撥號	c=2 d=1.63763 t=2503
bo lan 	波瀾	c=1 d=1 t=7221
bo li 	玻璃	c=1 d=1 t=6321
bo zi 	脖子	c=1 d=1 t=9031
bu 	不	c=46 d=1.30579 t=10154
bu 	怖	c=1 d=1 t=1421
bu 	補	c=12 d=1.01584 t=10028
bu chong 	補充	c=4 d=1 t=10258
bu cuo 	不錯	c=1 d=1 t=884
bu dao 	不到	c=2 d=1 t=8220
bu dong 	不懂	c=1 d=1 t=8305
bu dui 	不對	c=7 d=1.00051 t=8678
bu duo 	不多	c=2 d=1.6005 t=10135
bu fan 	補番	c=1 d=1 t=7170
bu fen 	部分	c=2 d=1.03337 t=2280
bu gai 	不該	c=1 d=1 t=2513
bu guan 	不管	c=1 d=1 t=9273
bu guo 	不過	c=11 d=1.94176 t=9876
bu han 	不含	c=1 d=1 t=5738
bu hui 	不會	c=11 d=1.03652 t=9658
bu ji 	不急	c=2 d=1.00178 t=1678
bu jia 	不加	c=1 d=1 t=7510
bu jian 	不見	c=1 d=1 t=1735
bu jian de 	不見得	c=1 d=1 t=6476
bu jian yi 	不建議	c=1 d=1 t=4413
bu ke 	不可	c=2 d=1.00002 t=7667
bu ke neng 	不可能	c=2 d=1.00099 t=9155
bu ke yi 	不可以	c=1 d=1 t=3426
bu liao 	不了	c=1 d=1 t=10268
bu ma 	補碼	c=1 d=1 t=8034
bu man 	不滿	c=1 d=1 t=3350
bu men 	部門	c=1 d=1 t=1356
bu ming bai 	不明白	c=1 d=1 t=3315
bu neng 	不能	c=10 d=2.35427 t=9360
bu pei 	不配	c=1 d=1 t=7361
bu qiao 	不巧	c=1 d=1 t=3687
bu qing chu 	不清楚	c=1 d=1 t=966
bu quan 	補全	c=5 d=1.0166 t=3125
bu que ding 	不確定	c=3 d=1 t=9184
bu ran 	不然	c=2 d=1 t=8709
bu rang 	不讓	c=1 d=1 t=3337
bu shi 	不是	c=18 d=1.29655 t=9677
bu shi he 	不適合	c=1 d=1 t=8919
bu shi yong 	不適用	c=1 d=1 t=3819
bu tai 	不太	c=0 d=0.1 t=5363
bu tai dong 	不太懂	c=1 d=1 t=5364
bu tong 	不同	c=11 d=1.00041 t=9356
bu wan 	補完	c=1 d=1 t=6725
bu xi huan 	不喜歡	c=1 d=1 t=4260
bu xiang 	不想	c=3 d=1.00006 t=9267
bu xiao xin 	不小心	c=1 d=1 t=1124
bu xing 	不行	c=8 d=1.99005 t=7156
bu xiu gang 	不鏽鋼	c=1 d=1 t=6704
bu xu yao 	不需要	c=1 d=1 t=2583
bu yan zi ming 	不言自明	c=1 d=1 t=10124
bu yao 	不要	c=3 d=1.94649 t=5940
bu yi yang 	不一樣	c=2 d=1 t=10099
bu yi zhi 	不一致	c=1 d=1 t=7864
bu yong 	不用	c=10 d=1.00865 t=9173
bu zen me 	不怎麼	c=1 d=1 t=8427
bu zheng chang 	不正常	c=4 d=1.97335 t=2343
bu zheng que 	不正確	c=1 d=1 t=5805
bu zhi 	不支	c=0 d=0.1 t=6415
bu zhi 	不止	c=1 d=1 t=3878
bu zhi bu jue 	不知不覺	c=1 d=1 t=3103
bu zhi chi 	不支持	c=1 d=1 t=6416
bu zhi dao 	不知道	c=10 d=1.33106 t=9135
bu zhou 	步驟	c=1 d=1 t=10270
bu zuo 	不做	c=1 d=1 t=9931
cai 	才	c=11 d=1.62775 t=8537
cai 	猜	c=1 d=1 t=9520
cai ce 	猜測	c=2 d=1 t=9517
cai dan 	菜單	c=1 d=1 t=3161
cai dao 	猜到	c=1 d=1 t=5210
cai neng 	才能	c=1 d=1 t=4274
cai qie 	裁切	c=1 d=1 t=1038
cai se 	彩色	c=4 d=3.94565 t=4237
cai xing 	才行	c=1 d=1 t=6604
cai yong 	採用	c=2 d=1.73345 t=7776
cai zheng 	財政	c=1 d=1 t=1365
can 	慘	c=1 d=1 t=2042
can ban 	參半	c=0 d=0.1 t=10003
can fei 	殘廢	c=1 d=1 t=3325
can kao 	參考	c=6 d=1.91145 t=7888
can kui 	慚愧	c=1 d=1 t=4717
can shu 	參數	c=4 d=1.00113 t=9923
cang ku 	倉庫	c=6 d=2.65302 t=3439
cao 	操	c=1 d=1 t=6329
cao 	槽	c=4 d=2.67894 t=4948
cao 	草	c=15 d=1.42761 t=9369
cao zuo 	操作	c=16 d=1.05786 t=9505
ce bian 	側邊	c=1 d=1 t=5971
ce ju 	測距	c=1 d=1 t=6279
ce liang 	測量	c=1 d=1 t=6268
ce shi 	測試	c=4 d=1.00027 t=8299
ce su 	測速	c=2 d=1.99005 t=7389
ce suo 	廁所	c=1 d=1 t=8399
ceng 	層	c=2 d=1.20805 t=8408
ceng jing 	曾經	c=1 d=1 t=6202
cha 	插	c=2 d=1 t=5922
cha 	查	c=3 d=1.00161 t=9467
cha bu duo 	差不多	c=4 d=1.00001 t=8999
cha dian 	差點	c=1 d=1 t=6378
cha jian 	插件	c=16 d=1.00001 t=10226
cha kan 	查看	c=11 d=1.74389 t=4205
cha ru 	插入	c=15 d=5.3356 t=9803
cha zhao 	查找	c=8 d=1.78748 t=9970
cha zhao shu 	查找樹	c=1 d=1 t=9601
cha zhen 	插針	c=2 d=1.99501 t=6342
cha zhi 	差值	c=1 d=1 t=8324
chai dao 	柴刀	c=2 d=1.97045 t=9041
chang 	唱	c=1 d=1 t=9399
chang 	常	c=1 d=1 t=2743
chang 	長	c=4 d=1.11235 t=7999
chang di 	場地	c=1 d=1 t=5242
chang du 	長度	c=9 d=1.0001 t=9947
chang e 	嫦娥	c=1 d=1 t=3601
chang gong 	唱功	c=1 d=1 t=5339
chang jian 	常見	c=1 d=1 t=5228
chang qi 	長期	c=2 d=1.95123 t=1597
chang shi 	嘗試	c=3 d=1.00024 t=1971
chang shi jian 	長時間	c=2 d=1.59452 t=7549
chang yong 	常用	c=7 d=1.01822 t=9847
chao 	吵	c=2 d=1.98511 t=704
chao 	朝	c=1 d=1 t=6780
chao 	超	c=4 d=1 t=8846
chao ji 	超級	c=1 d=1 t=5347
chao pin 	超頻	c=1 d=1 t=1452
che 	車	c=2 d=1.99501 t=4271
che li 	車裏	c=1 d=1 t=9365
chen 	陳	c=1 d=1 t=6776
cheng 	成	c=3 d=1 t=10242
cheng 	稱	c=3 d=2.82399 t=5271
cheng gong 	成功	c=4 d=1.00012 t=6145
cheng gong lv 	成功率	c=1 d=1 t=1948
cheng wei 	成爲	c=3 d=1 t=9268
cheng xu 	程序	c=5 d=1.00487 t=8497
cheng yuan 	成員	c=12 d=2.87954 t=9671
chi 	吃	c=2 d=1 t=8765
chi 	持	c=0 d=0.1 t=6415
chi cun 	尺寸	c=3 d=1.00619 t=7015
chi dao 	赤道	c=1 d=1 t=7970
chi hong 	赤紅	c=1 d=1 t=6628
chi zi 	尺子	c=1 d=1 t=5991
chong 	充	c=1 d=1 t=6199
chong 	衝	c=1 d=1 t=3197
chong dian 	充電	c=2 d=1.19407 t=6316
chong dian bao 	充電寶	c=1 d=1 t=5980
chong fu 	重複	c=10 d=4.47075 t=9660
chong qi 	重啓	c=5 d=1.00443 t=3762
chong tu 	衝突	c=1 d=1 t=9638
chong xin 	重新	c=2 d=1.00014 t=2038
chong zai 	重載	c=5 d=1.91408 t=6503
chong zhi 	充值	c=2 d=1.95123 t=6205
chong zhi 	重置	c=1 d=1 t=9363
chong zhuang 	重裝	c=5 d=1 t=9578
chong zu 	充足	c=2 d=1.91393 t=7629
chou 	抽	c=1 d=1 t=9230
chou xiang 	抽象	c=1 d=1 t=4453
chou you yan ji 	抽油煙機	c=2 d=1.94649 t=1437
chu 	出	c=8 d=1.01694 t=10088
chu 	處	c=2 d=1 t=4281
chu bu 	初步	c=1 d=1 t=3630
chu fa 	觸發	c=2 d=1.00106 t=2192
chu fang 	廚房	c=1 d=1 t=1435
chu fei 	除非	c=4 d=1 t=6971
chu le 	除了	c=5 d=1.92679 t=8574
chu shi hua 	初始化	c=4 d=1.00134 t=9798
chu xian 	出現	c=4 d=1 t=5825
chu yu 	處於	c=2 d=1.99005 t=6745
chu zhong 	初中	c=1 d=1 t=7569
chuan 	串	c=1 d=1 t=6644
chuan 	傳	c=2 d=1.00117 t=2804
chuan 	船	c=1 d=1 t=1457
chuan ran 	傳染	c=1 d=1 t=5403
chuan yue 	穿越	c=1 d=1 t=10138
chuang jian 	創建	c=8 d=1.59549 t=9918
chuang kou 	窗口	c=14 d=7.50807 t=2462
chuang yi 	創意	c=1 d=1 t=3140
chuang zuo 	創作	c=1 d=1 t=5527
chui zhi 	垂直	c=3 d=2.10041 t=1449
chun 	純	c=4 d=1 t=8377
chuo 	綽	c=1 d=1 t=2901
ci 	次	c=8 d=1.0092 t=9427
ci 	此	c=3 d=1.00267 t=5525
ci 	詞	c=2 d=1.01031 t=5291
ci ji 	刺激	c=2 d=1 t=9011
ci lv suan 	次氯酸	c=1 d=1 t=6572
ci pan 	磁盤	c=1 d=1 t=2670
ci shu 	次數	c=1 d=1 t=7224
ci wai 	此外	c=8 d=1.00094 t=10039
ci xi 	磁吸	c=2 d=1.90937 t=3168
cong lai 	從來	c=1 d=1 t=5191
cong ming 	聰明	c=1 d=1 t=2873
cong xiao dao da 	從小到大	c=1 d=1 t=5846
cun 	存	c=1 d=1 t=4026
cun chu 	存儲	c=1 d=1 t=4342
cun fang 	存放	c=1 d=1 t=7468
cun shi 	存實	c=1 d=1 t=6742
cun zai 	存在	c=3 d=1 t=9639
cuo jue 	錯覺	c=1 d=1 t=6003
cuo wu 	錯誤	c=9 d=1.9668 t=9598
da 	大	c=6 d=1.00033 t=9497
da 	打	c=26 d=1.02913 t=9346
da 	達	c=2 d=1.00282 t=8882
da an 	答案	c=1 d=1 t=9680
da bao 	打包	c=2 d=1.00117 t=2219
da biao ke 	大鏢客	c=1 d=1 t=937
da bu fen 	大部分	c=1 d=1 t=8075
da cuo 	打錯	c=1 d=1 t=8549
da da 	大大	c=1 d=1 t=7843
da duo 	大多	c=1 d=1 t=7712
da duo shu 	大多數	c=1 d=1 t=3796
da fen qi 	達芬奇	c=1 d=1 t=7903
da fu 	大幅	c=2 d=1 t=9508
da gai 	大概	c=10 d=1.00015 t=8932
da gong 	打工	c=1 d=1 t=4022
da han 	大喊	c=1 d=1 t=1828
da ji 	打擊	c=0 d=0.1 t=7518
da jian 	大劍	c=1 d=1 t=1564
da kai 	打開	c=15 d=1.10473 t=9059
da lao 	大佬	c=6 d=2.30827 t=8753
da suan 	打算	c=4 d=1.00009 t=4025
da ti 	答題	c=1 d=1 t=8828
da tui 	大腿	c=1 d=1 t=1562
da wan 	打完	c=1 d=1 t=7073
da xiao 	大小	c=2 d=1.01259 t=2758
da xiao xie 	大小寫	c=2 d=1 t=9588
da xie 	大寫	c=1 d=1 t=9595
da xue 	大學	c=9 d=6.12751 t=6211
da you 	打油	c=1 d=1 t=4998
da you xi 	打遊戲	c=1 d=1 t=1673
da yu 	大於	c=4 d=2.76383 t=4541
da zi 	打字	c=1 d=1 t=3114
dai 	帶	c=2 d=1.00001 t=4172
dai ding 	待定	c=1 d=1 t=3629
dai lai 	帶來	c=2 d=1 t=10070
dai li 	代理	c=5 d=0.1 t=8259
dai li lei 	代理類	c=1 d=1 t=8260
dai ma 	代碼	c=19 d=3.40038 t=8636
dai shu 	代數	c=1 d=1 t=7160
dan 	但	c=36 d=1.91208 t=10034
dan 	單	c=1 d=1 t=859
dan ci 	單詞	c=2 d=1.19014 t=5555
dan mu 	彈幕	c=13 d=3.20894 t=8724
dan pian ji 	單片機	c=2 d=1.99005 t=6354
dan tiao 	單條	c=2 d=1.74826 t=8869
dan wei 	單位	c=3 d=2.81421 t=7977
dang 	檔	c=1 d=1 t=1622
dang 	氹	c=1 d=1 t=6060
dang 	當	c=7 d=1.00724 t=9039
dang qian 	當前	c=7 d=1 t=8331
dang wo 	當我	c=2 d=1 t=9403
dao 	倒	c=2 d=1.25795 t=5024
dao 	刀	c=4 d=2.15809 t=9086
dao 	到	c=41 d=1.30432 t=9549
dao 	島	c=1 d=1 t=3752
dao 	道	c=1 d=1 t=3544
dao di 	到底	c=1 d=1 t=6455
dao er 	倒二	c=1 d=1 t=4755
dao lan 	導覽	c=1 d=1 t=2644
dao le 	到了	c=1 d=1 t=2538
dao li 	道理	c=1 d=1 t=9527
dao shi 	倒是	c=1 d=1 t=5306
dao shi hou 	到時候	c=1 d=1 t=5168
dao xu 	倒序	c=1 d=1 t=9794
dao zhi 	導致	c=4 d=1.00002 t=9992
de 	地	c=3 d=1.00137 t=6518
de 	得	c=3 d=1.80606 t=8344
de 	德	c=1 d=1 t=6100
de 	的	c=374 d=7.67819 t=10277
de hua 	的話	c=26 d=5.07161 t=10257
de ma 	的嗎	c=1 d=1 t=9232
deng 	登	c=1 d=1 t=2952
deng 	等	c=3 d=1.00795 t=8551
deng bu ji 	等不及	c=1 d=1 t=10091
deng dai 	等待	c=3 d=1.00762 t=9482
deng deng 	等等	c=6 d=1 t=9483
deng ji 	等級	c=3 d=1 t=8817
deng lu 	登錄	c=11 d=2.11783 t=9464
deng tong yu 	等同於	c=1 d=1 t=8190
deng yu 	等於	c=2 d=1.98511 t=4525
deng zhe 	等着	c=1 d=1 t=740
di 	低	c=2 d=1.01419 t=6786
di 	底	c=1 d=1 t=9949
di 	第	c=3 d=1.8825 t=9745
di ba 	第八	c=1 d=1 t=6264
di bu 	底部	c=1 d=1 t=9897
di dian 	地點	c=1 d=1 t=5283
di er 	第二	c=1 d=1 t=6068
di er ge 	第二個	c=5 d=3.45871 t=4739
di er ji 	第二季	c=2 d=1.91851 t=10167
di er tian 	第二天	c=1 d=1 t=7474
di fang 	地方	c=5 d=1.56406 t=10001
di gui 	遞歸	c=3 d=1.99501 t=4411
di san ci 	第三次	c=1 d=1 t=6908
di si 	第四	c=0 d=0.1 t=6720
di si hang 	第四行	c=1 d=1 t=2714
di si ji 	第四集	c=4 d=1.99501 t=10084
di tu 	地圖	c=1 d=1 t=5282
di wen 	低溫	c=1 d=1 t=7645
di wu 	第五	c=1 d=1 t=7692
di wu ge 	第五個	c=1 d=1 t=2993
di yi 	第一	c=0 d=0.1 t=7078
di yi ba 	第一把	c=1 d=1 t=7079
di yi ci 	第一次	c=5 d=1 t=9282
di yi ge 	第一個	c=1 d=1 t=5074
di yi ji 	第一季	c=2 d=1.28083 t=9329
di yi wei 	第一位	c=1 d=1 t=8181
di zhi 	地址	c=4 d=1.63128 t=9717
di zhi 	抵制	c=2 d=1.89137 t=7857
dian 	電	c=1 d=1 t=6299
dian 	點	c=23 d=1.95716 t=10260
dian chi 	電池	c=8 d=1.07013 t=7253
dian ci bo 	電磁波	c=2 d=1.94649 t=6297
dian du 	電鍍	c=1 d=1 t=7411
dian hua hao ma 	電話號碼	c=1 d=1 t=1417
dian ji 	電極	c=4 d=3.11928 t=6707
dian ji 	電機	c=1 d=1 t=6576
dian jie 	電解	c=9 d=3.9705 t=6697
dian jie shui 	電解水	c=1 d=1 t=6580
dian lu 	電路	c=1 d=1 t=8232
dian ming 	點名	c=1 d=1 t=2767
dian nao 	電腦	c=7 d=1 t=8010
dian ping 	點評	c=1 d=1 t=9022
dian ya 	電壓	c=1 d=1 t=6333
dian yuan 	電源	c=2 d=1 t=5984
dian zi 	電子	c=2 d=1.99501 t=6607
dian zu 	電阻	c=2 d=1.93239 t=6348
diao 	吊	c=1 d=1 t=3089
diao 	掉	c=1 d=1 t=5095
diao da 	吊打	c=1 d=1 t=6791
diao jia 	掉價	c=1 d=1 t=5858
diao yong 	調用	c=2 d=1.0004 t=6055
diao zha tian 	掉炸天	c=1 d=1 t=3088
diao zhen 	掉幀	c=2 d=1.00061 t=3787
die dai 	迭代	c=2 d=1.06822 t=4893
die jia 	疊加	c=1 d=1 t=6746
ding 	定	c=1 d=1 t=4910
ding bu 	頂部	c=2 d=1 t=9896
ding yi 	定義	c=3 d=1.16696 t=4801
ding zhi 	定製	c=2 d=1.00002 t=3374
diu 	丟	c=1 d=1 t=1620
dong 	動	c=1 d=1 t=7347
dong 	懂	c=2 d=0.506805 t=5363
dong 	東	c=1 d=1 t=3922
dong bei 	東北	c=1 d=1 t=6062
dong fang 	東方	c=5 d=2.90265 t=5332
dong feng 	東風	c=1 d=1 t=957
dong hua 	東華	c=1 d=1 t=6157
dong tai 	動態	c=1 d=1 t=5430
dong xi 	東西	c=4 d=1.01139 t=9151
dou 	抖	c=1 d=1 t=8715
dou 	都	c=60 d=1.16451 t=9372
dou hao 	逗號	c=2 d=1.99501 t=2367
dou shi 	都是	c=5 d=1.11304 t=9560
du 	度	c=1 d=1 t=6579
du 	讀	c=1 d=1 t=6687
du 	鍍	c=1 d=1 t=7409
du chang 	賭場	c=1 d=1 t=9264
